Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	1327221850	Resume_All_Global			\Default Work Unit\Resume_All_Global	
	3493516265	Pause_All_Global			\Default Work Unit\Pause_All_Global	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28779853	UNB-HS-HG_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-HS-HG_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	39160
	38027547	WalkieTalkie_OUT_06	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\SFX\WalkieTalkie_OUT_06_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_06	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2296
	54720405	UNB-BM-LO_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-BM-LO_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20548
	58593093	UNB-GG-ST_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-GG-ST_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	29080
	61298839	UNB-HS-LO_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-HS-LO_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	36208
	62681434	UNB-RH-OS_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-RH-OS_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22564
	99661973	UNA-GG-LO_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-GG-LO_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20368
	109058487	UNA-GG-AL_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-GG-AL_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	27280
	110186142	UNA-GG-ST_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-GG-ST_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	31960
	114039653	UNB-DB-FL_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-DB-FL_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20296
	122150048	UNA-HS-ST_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-HS-ST_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	26416
	130972370	WalkieTalkie_OUT_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\SFX\WalkieTalkie_OUT_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1000
	143955854	UNB-DB-CP_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-DB-CP_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20656
	152207618	WalkieTalkie_OUT_03	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\SFX\WalkieTalkie_OUT_03_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2656
	154332458	WalkieTalkie_IN_05	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\SFX\WalkieTalkie_IN_05_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2404
	160029535	UNB-BM-HG_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-BM-HG_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	28504
	171852403	UNB-NH-OS_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-NH-OS_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20188
	222251975	UNB-RH-FL_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-RH-FL_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22528
	241281798	UNA-GG-HG_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-GG-HG_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	27172
	260542699	WalkieTalkie_OUT_05	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\SFX\WalkieTalkie_OUT_05_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2728
	296510554	UNA-NH-CP_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-NH-CP_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	36136
	302248483	UNB-OB-CP_02	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNB-OB-CP_02_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15040
	302361834	UNA-BM-LO_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-BM-LO_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	33256
	323616383	UNA-BM-AL_01	C:\Audiokinetic\Wwise_2016.1.0.5775\SDK\samples\IntegrationDemo\WwiseProject\.cache\Android\Voices\English(US)\UNA-BM-AL_01_E1E65BF4.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	34732
